iter	Accuracy	Logloss
0	0.7584471603	0.6855230111
1	0.7759884975	0.6778675028
2	0.7795830338	0.67105428
3	0.783465133	0.6637768089
4	0.7810208483	0.6572170418
5	0.7719626168	0.6510315439
6	0.7787203451	0.6451147292
7	0.7784327822	0.6392231752
8	0.7800143781	0.6336671834
9	0.7833213515	0.6276710879
10	0.7798705967	0.6222882537
11	0.7807332854	0.6175302381
12	0.7778576564	0.6142611008
13	0.7785765636	0.6096596284
14	0.7775700935	0.6053361754
15	0.7792954709	0.6006516264
16	0.7788641265	0.5965696176
17	0.7784327822	0.592455067
18	0.7781452193	0.5887601511
19	0.7807332854	0.5841932595
20	0.7810208483	0.580362708
21	0.7813084112	0.5757217412
22	0.7830337886	0.5722301576
23	0.7820273185	0.568577915
24	0.7820273185	0.5660214319
25	0.783465133	0.5626856042
26	0.7840402588	0.5595229421
27	0.7836089145	0.5569443376
28	0.7849029475	0.5536590865
29	0.7869158879	0.5508949828
30	0.786340762	0.548589843
31	0.7877785766	0.5463888496
32	0.7876347951	0.5439511113
33	0.7867721064	0.5412143787
34	0.7873472322	0.5391446053
35	0.787922358	0.5363529669
36	0.789503954	0.5343145647
37	0.7892163911	0.5321277779
38	0.789503954	0.530121864
39	0.7892163911	0.5278736605
40	0.7896477354	0.5257452761
41	0.7893601725	0.5238199521
42	0.7899352983	0.5215961138
43	0.7896477354	0.5196163615
44	0.7906542056	0.5177550667
45	0.7906542056	0.5159590696
46	0.7915168943	0.5141515944
47	0.7922358016	0.5124276425
48	0.7916606758	0.5110781521
49	0.7922358016	0.50959583
50	0.7922358016	0.5080305197
51	0.7925233645	0.5062968883
52	0.7928109274	0.5046175037
53	0.7936736161	0.5030025499
54	0.7936736161	0.5017099379
55	0.7935298347	0.5002366173
56	0.7941049605	0.4988824877
57	0.7941049605	0.4977474004
58	0.7943925234	0.4962951098
59	0.7942487419	0.4950683172
60	0.7948238677	0.4935196988
61	0.7945363048	0.4921721198
62	0.7949676492	0.4910338868
63	0.7949676492	0.4897933012
64	0.7943925234	0.4882489689
65	0.7948238677	0.4872617083
66	0.7952552121	0.4862930374
67	0.7951114306	0.4852842268
68	0.7951114306	0.4843534673
69	0.7946800863	0.4833772234
70	0.7949676492	0.4825482883
71	0.7952552121	0.4814604595
72	0.7952552121	0.4807808778
73	0.7958303379	0.4798396917
74	0.7956865564	0.4789677758
75	0.7953989935	0.4778714284
76	0.7966930266	0.4768151452
77	0.7958303379	0.4759226748
78	0.7968368081	0.4751217129
79	0.7968368081	0.4743537739
80	0.7964054637	0.4735099366
81	0.7969805895	0.4727031302
82	0.7968368081	0.4718682805
83	0.7975557153	0.4708809681
84	0.797124371	0.4700320633
85	0.7974119339	0.4692364068
86	0.7974119339	0.4684541258
87	0.7966930266	0.4673280219
88	0.7968368081	0.4667119761
89	0.7969805895	0.4658797023
90	0.7975557153	0.4651434392
91	0.798418404	0.4645700473
92	0.7982746226	0.4639733967
93	0.7985621855	0.4629937141
94	0.7992810927	0.4623380736
95	0.7994248742	0.4615691762
96	0.7994248742	0.4609535415
97	0.7998562185	0.4603456035
98	0.7995686556	0.4595399015
99	0.7995686556	0.4590275691
100	0.7995686556	0.458564386
101	0.7994248742	0.4574672665
102	0.7989935298	0.4569774059
103	0.7992810927	0.4563556828
104	0.7992810927	0.4557098861
105	0.7992810927	0.4552083872
106	0.7992810927	0.4544541918
107	0.7994248742	0.4538206729
108	0.7998562185	0.4534395959
109	0.8	0.4525754683
110	0.8001437815	0.4519935456
111	0.8	0.4514743426
112	0.8001437815	0.451150523
113	0.8004313444	0.4505729501
114	0.8005751258	0.4498863418
115	0.8004313444	0.4495618722
116	0.8004313444	0.4490673148
117	0.8004313444	0.4486055052
118	0.8002875629	0.4479101728
119	0.8001437815	0.4472855715
120	0.8004313444	0.4467394539
121	0.8005751258	0.4463298127
122	0.8010064702	0.4459617504
123	0.8011502516	0.4456135104
124	0.8012940331	0.4452755186
125	0.8012940331	0.4449884831
126	0.8017253774	0.444679192
127	0.801581596	0.4442254417
128	0.801581596	0.4439203241
129	0.801581596	0.4436457633
130	0.8017253774	0.443318937
