iter	Passed	Remaining
0	6	10466
1	13	10191
2	20	10129
3	27	10164
4	33	9998
5	40	10132
6	47	10150
7	54	10126
8	60	10068
9	67	10033
10	72	9835
11	77	9591
12	80	9244
13	86	9140
14	92	9137
15	97	9049
16	103	9001
17	110	9125
18	121	9451
19	132	9787
20	146	10351
21	161	10845
22	177	11385
23	191	11781
24	202	11964
25	213	12075
26	222	12144
27	232	12210
28	244	12395
29	253	12415
30	260	12341
31	267	12282
32	274	12202
33	282	12174
34	291	12185
35	300	12207
36	307	12165
37	313	12075
38	321	12042
39	328	11989
40	336	11978
41	345	11980
42	352	11942
43	359	11906
44	365	11829
45	373	11814
46	383	11857
47	390	11822
48	399	11815
49	406	11782
50	413	11745
51	421	11731
52	429	11719
53	435	11669
54	441	11610
55	447	11547
56	453	11478
57	458	11407
58	465	11370
59	473	11358
60	480	11338
61	488	11322
62	495	11300
63	501	11241
64	507	11198
65	514	11182
66	522	11171
67	531	11188
68	538	11174
69	546	11170
70	556	11193
71	564	11186
72	577	11280
73	586	11300
74	604	11488
75	624	11704
76	646	11956
77	655	11954
78	665	11967
79	674	11969
80	684	11985
81	693	11988
82	701	11980
83	712	12011
84	725	12081
85	741	12186
86	758	12314
87	767	12320
88	774	12284
89	781	12236
90	788	12208
91	795	12180
92	801	12129
93	807	12081
94	812	12021
95	817	11956
96	822	11891
97	826	11827
98	831	11761
99	835	11698
100	840	11639
101	844	11578
102	848	11514
103	853	11458
104	857	11398
105	862	11342
106	866	11284
107	870	11223
108	875	11169
109	879	11113
110	883	11055
111	888	11005
112	892	10953
113	896	10903
114	901	10859
115	905	10807
116	910	10757
117	915	10723
118	920	10684
119	924	10636
120	929	10598
121	934	10560
122	939	10516
123	944	10477
124	949	10441
125	953	10400
126	958	10358
127	962	10320
128	967	10280
129	971	10241
130	976	10206
131	982	10182
132	987	10148
133	991	10111
134	996	10080
135	1001	10046
136	1006	10010
137	1011	9980
138	1016	9957
139	1021	9924
140	1026	9891
141	1030	9859
142	1035	9828
143	1040	9795
144	1045	9766
145	1050	9741
146	1055	9713
147	1060	9684
148	1064	9655
149	1069	9627
150	1074	9596
151	1078	9565
152	1083	9539
153	1088	9511
154	1092	9480
155	1097	9456
